SECTOR_ID,SECTOR_NAME,ENODEBID,ENODEB_NAME,FREQBAND,FREQUENCY,EARFCN,AZIMUTH,LONGITUDE,LATITUDE,STYLE,HEIGHT,K_DIST,,
567008-2,官渡云南农产品电子信息交易中心C栋-HLH-2,567008,官渡云南农产品电子信息交易中心C栋-HLH,39,1890,38350,150,102.772,25.03164,OUTDOOR,12,309.437,,
567008-1,官渡云南农产品电子信息交易中心C栋-HLH-1,567008,官渡云南农产品电子信息交易中心C栋-HLH,39,1890,38350,60,102.772,25.03164,OUTDOOR,12,309.437,,
565745-3,官渡云南印象城-HLH-3,565745,官渡云南印象城-HLH,39,1890,38350,235,102.721,25.02244,OUTDOOR,24,197.417,,
565745-2,官渡云南印象城-HLH-2,565745,官渡云南印象城-HLH,39,1890,38350,140,102.721,25.02244,OUTDOOR,24,197.417,,
565745-1,官渡云南印象城-HLH-1,565745,官渡云南印象城-HLH,39,1890,38350,0,102.721,25.02244,OUTDOOR,24,197.417,,
565744-3,官渡云南日化-HLH-3,565744,官渡云南日化-HLH,39,1890,38350,240,102.776,25.002836,OUTDOOR,27,303.68,,
565744-2,官渡云南日化-HLH-2,565744,官渡云南日化-HLH,39,1890,38350,115,102.776,25.002836,OUTDOOR,27,303.68,,
565744-1,官渡云南日化-HLH-1,565744,官渡云南日化-HLH,39,1890,38350,0,102.776,25.002836,OUTDOOR,27,303.68,,
567709-3,官渡云南药材公司-HLH-3,567709,官渡云南药材公司-HLH,39,1890,38350,300,102.733,25.02491,OUTDOOR,30,134.208,,
567709-2,官渡云南药材公司-HLH-2,567709,官渡云南药材公司-HLH,39,1890,38350,200,102.733,25.02491,OUTDOOR,30,134.208,,
567709-1,官渡云南药材公司-HLH-1,567709,官渡云南药材公司-HLH,39,1890,38350,50,102.733,25.02491,OUTDOOR,30,134.208,,
565739-3,官渡云大西路中段灯杆-HLH-3,565739,官渡云大西路中段灯杆-HLH,39,1890,38350,240,102.779,24.984847,OUTDOOR,32,430.899,,
565739-2,官渡云大西路中段灯杆-HLH-2,565739,官渡云大西路中段灯杆-HLH,39,1890,38350,120,102.779,24.984847,OUTDOOR,32,430.899,,
565739-1,官渡云大西路中段灯杆-HLH-1,565739,官渡云大西路中段灯杆-HLH,39,1890,38350,0,102.779,24.984847,OUTDOOR,32,430.899,,
565740-3,官渡云辉货运灯杆-HLH-3,565740,官渡云辉货运灯杆-HLH,39,1890,38350,260,102.772,24.99462,OUTDOOR,30,353.751,,
565740-2,官渡云辉货运灯杆-HLH-2,565740,官渡云辉货运灯杆-HLH,39,1890,38350,120,102.772,24.99462,OUTDOOR,30,353.751,,
565740-1,官渡云辉货运灯杆-HLH-1,565740,官渡云辉货运灯杆-HLH,39,1890,38350,0,102.772,24.99462,OUTDOOR,30,353.751,,
565505-3,官渡京川酒楼-HLH-3,565505,官渡京川酒楼-HLH,39,1890,38350,320,102.739,25.01585,OUTDOOR,25,221.36,,
565505-2,官渡京川酒楼-HLH-2,565505,官渡京川酒楼-HLH,39,1890,38350,220,102.739,25.01585,OUTDOOR,25,221.36,,
565505-1,官渡京川酒楼-HLH-1,565505,官渡京川酒楼-HLH,39,1890,38350,85,102.739,25.01585,OUTDOOR,25,221.36,,
565526-3,官渡人力资源中心-HLH-3,565526,官渡人力资源中心-HLH,39,1890,38350,150,102.736,25.02532,OUTDOOR,24,153.698,,
565526-2,官渡人力资源中心-HLH-2,565526,官渡人力资源中心-HLH,39,1890,38350,80,102.736,25.02532,OUTDOOR,24,153.698,,
565526-1,官渡人力资源中心-HLH-1,565526,官渡人力资源中心-HLH,39,1890,38350,300,102.736,25.02532,OUTDOOR,24,153.698,,
565774-2,官渡会展中心-HLH-2,565774,官渡会展中心-HLH,39,1890,38350,160,102.737,25.01158,OUTDOOR,39,202.816,,
565774-1,官渡会展中心-HLH-1,565774,官渡会展中心-HLH,39,1890,38350,290,102.737,25.01158,OUTDOOR,39,202.816,,
568068-3,官渡佛堂山大桥-HLH-3,568068,官渡佛堂山大桥-HLH,39,1890,38350,270,102.804,25.021111,OUTDOOR,23,1022.719,,
568068-2,官渡佛堂山大桥-HLH-2,568068,官渡佛堂山大桥-HLH,39,1890,38350,170,102.804,25.021111,OUTDOOR,23,1022.719,,
568068-1,官渡佛堂山大桥-HLH-1,568068,官渡佛堂山大桥-HLH,39,1890,38350,20,102.804,25.021111,OUTDOOR,23,1022.719,,
565501-3,官渡佳路达酒店-HLH-3,565501,官渡佳路达酒店-HLH,39,1890,38350,240,102.727,25.02911,OUTDOOR,33,137.997,,
565501-2,官渡佳路达酒店-HLH-2,565501,官渡佳路达酒店-HLH,39,1890,38350,120,102.727,25.02911,OUTDOOR,33,137.997,,
565501-1,官渡佳路达酒店-HLH-1,565501,官渡佳路达酒店-HLH,39,1890,38350,0,102.727,25.02911,OUTDOOR,33,137.997,,
565463-3,官渡供销大厦-HLH-3,565463,官渡供销大厦-HLH,39,1890,38350,230,102.742,25.01567,OUTDOOR,30,169.33,,
565463-2,官渡供销大厦-HLH-2,565463,官渡供销大厦-HLH,39,1890,38350,120,102.742,25.01567,OUTDOOR,30,169.33,,
565463-1,官渡供销大厦-HLH-1,565463,官渡供销大厦-HLH,39,1890,38350,40,102.742,25.01567,OUTDOOR,30,169.33,,
566316-3,官渡假日湾租房站-HLH-3,566316,官渡假日湾租房站-HLH,39,1890,38350,230,102.722,24.983611,OUTDOOR,25,221.214,,
566316-2,官渡假日湾租房站-HLH-2,566316,官渡假日湾租房站-HLH,39,1890,38350,150,102.722,24.983611,OUTDOOR,25,221.214,,
566316-1,官渡假日湾租房站-HLH-1,566316,官渡假日湾租房站-HLH,39,1890,38350,40,102.722,24.983611,OUTDOOR,25,221.214,,
565410-3,官渡公安便衣分局-HLH-3,565410,官渡公安便衣分局-HLH,39,1890,38350,240,102.715,25.0187,OUTDOOR,24,329.806,,
565410-2,官渡公安便衣分局-HLH-2,565410,官渡公安便衣分局-HLH,39,1890,38350,160,102.715,25.0187,OUTDOOR,24,329.806,,
565410-1,官渡公安便衣分局-HLH-1,565410,官渡公安便衣分局-HLH,39,1890,38350,40,102.715,25.0187,OUTDOOR,24,329.806,,
567890-3,官渡兰花宾馆-HLH-3,567890,官渡兰花宾馆-HLH,39,1890,38350,220,102.722,25.02713,OUTDOOR,35,189.828,,
567890-2,官渡兰花宾馆-HLH-2,567890,官渡兰花宾馆-HLH,39,1890,38350,130,102.722,25.02713,OUTDOOR,35,189.828,,
567890-1,官渡兰花宾馆-HLH-1,567890,官渡兰花宾馆-HLH,39,1890,38350,340,102.722,25.02713,OUTDOOR,35,189.828,,
567355-2,官渡关上-HLH-2,567355,官渡关上-HLH,39,1890,38350,290,102.743,25.011111,OUTDOOR,30,221.997,,
